,film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
0,Sudden Death (1995 film),4021176,"Sudden Death is a 1995 American action-thriller film directed by Peter Hyams and starring Jean-Claude Van Damme, Powers Boothe, and Dorian Harewood. The film was released in the United States on December 22, 1995. Set at the Pittsburgh Civic Arena, the film was written by Gene Quintano, based on a story by Karen Elise Baldwin, the wife of then-Pittsburgh Penguins owner Howard Baldwin, who was a co-producer. It was the second collaboration between Van Damme and Hyams, after Timecop (1994).",-Dorian Harewood-Jean-Claude Van Damme-Powers Boothe-Raymond J. Barry,Sudden Death,1995 action thriller films-1995 films-American action thriller films-American films-American ice hockey films-English-language films-Fictional portrayals of the Pittsburgh Bureau of Police-Films about firefighting-Films about terrorism in the United States-Films directed by Peter Hyams-Films scored by John Debney-Films set in 1995-Films set in Pennsylvania-Films set in Pittsburgh-Films shot in New York (state)-Films shot in Pennsylvania-Films with screenplays by Gene Quintano-Pittsburgh Penguins-Sports in Pittsburgh-Universal Pictures films,Peter Hyams,Peter Hyams,6.44E7,Peter Hyams,English
1,Taken (film),15593618,"Taken (also titled 96 Hours and The Hostage) is a 2008 action-thriller film written by Luc Besson and Robert Mark Kamen, and directed by Pierre Morel. It stars Liam Neeson, Maggie Grace, Famke Janssen, Katie Cassidy, Leland Orser, and Holly Valance. Neeson plays Bryan Mills, a former CIA operative who sets about tracking down his teenage daughter Kim (Grace) and her best friend Amanda (Cassidy) after the two girls are kidnapped by Albanian human traffickers while traveling in France during a vacation.",-David Warshofsky-Famke Janssen-Holly Valance-Jon Gries-Katie Cassidy-Leland Orser-Liam Neeson-Maggie Grace,Taken: Original Motion Picture Soundtrack,2000s action thriller films-2008 films-20th Century Fox films-Albanian Mafia-American action thriller films-American films-English-language French films-English-language films-EuropaCorp films-Films about child abduction-Films about human trafficking-Films about organized crime in France-Films about prostitution in Paris-Films directed by Pierre Morel-Films produced by Luc Besson-Films scored by Nathaniel Méchaly-Films set in Los Angeles-Films set in Paris-Films shot in France-Films shot in Los Angeles-Films with screenplays by Luc Besson-Films with screenplays by Robert Mark Kamen-French action thriller films-French films-French vigilante films-Human trafficking in France-Taken (franchise)-Works about sex trafficking,Michel Abramowicz,Pierre Morel,2.268E8,Pierre Morel,English
2,Die Hard 2,433824,"Die Hard 2 is a 1990 American action-thriller film and the second installment in the Die Hard film series. The film was released on July 4, 1990 in the United States. The film was directed by Renny Harlin, written by Steven E. de Souza and Doug Richardson and stars Bruce Willis as John McClane. The film co-stars Bonnie Bedelia, William Sadler, Art Evans, William Atherton, Franco Nero, Dennis Franz, Fred Thompson, John Amos and Reginald VelJohnson.",-Bonnie Bedelia-Bruce Willis-Franco Nero-John Amos-Reginald VelJohnson-William Atherton-William Sadler,Die Hard 2,"1990 action thriller films-1990 films-1990s Christmas films-20th Century Fox films-American Christmas films-American action thriller films-American aviation films-American films-American sequel films-Die Hard-English-language films-Films about United States Army Special Forces-Films about aviation accidents or incidents-Films about hostage takings-Films about murderers-Films about terrorism-Films based on American novels-Films based on multiple works-Films based on thriller novels-Films directed by Renny Harlin-Films produced by Charles Gordon-Films produced by Joel Silver-Films produced by Lawrence Gordon-Films scored by Michael Kamen-Films set in 1990-Films set in Virginia-Films set in Washington, D.C.-Films set in airports-Films set on airplanes-Films shot in California-Films shot in Colorado-Films shot in Los Angeles-Films shot in Michigan-Films shot in Washington (state)-Films with screenplays by Steven E. de Souza-Silver Pictures films",Oliver Wood (cinematographer),Renny Harlin,2.402E8,Renny Harlin,English
3,Jason Bourne (film),43844230,"Jason Bourne is a 2016 American action-thriller film directed by Paul Greengrass and written by Greengrass and Christopher Rouse. It is the fifth installment of the Bourne film series and a direct sequel to The Bourne Ultimatum (2007). Matt Damon reprises his role as the main character, former CIA assassin Jason Bourne. In addition, the film stars Tommy Lee Jones, Alicia Vikander, Julia Stiles, Vincent Cassel, Riz Ahmed, Ato Essandoh and Scott Shepherd.",-Alicia Vikander-Julia Stiles-Matt Damon-Riz Ahmed-Tommy Lee Jones-Vincent Cassel,Jason Bourne:,"2016 action thriller films-2016 films-American action thriller films-American films-American films about revenge-American sequel films-Bourne (film series)-Films about United States Army Special Forces-Films directed by Paul Greengrass-Films produced by Frank Marshall-Films produced by Matt Damon-Films scored by David Buckley-Films scored by John Powell-Films set in 1999-Films set in 2016-Films set in Athens-Films set in Berlin-Films set in Greece-Films set in London-Films set in Reykjavík-Films set in Rome-Films set in the Las Vegas Valley-Films shot at Warner Bros. Studios, Leavesden-Films shot in Berlin-Films shot in Greece-Films shot in London-Films shot in Washington, D.C.-Films shot in the Canary Islands-Films shot in the Las Vegas Valley-IMAX films-Malware in fiction-Perfect World Pictures films-The Kennedy/Marshall Company films-Universal Pictures films",Barry Ackroyd,Paul Greengrass,4.155E8,Paul Greengrass,English
4,Sanctum (film),28236076,"Sanctum is a 2011 3D action-thriller film directed by Alister Grierson and written by John Garvin and Andrew Wight. It stars Richard Roxburgh, Rhys Wakefield, Alice Parkinson, Dan Wyllie, and Ioan Gruffudd. Wight also produced the film, with James Cameron as executive producer.",-Alice Parkinson-Dan Wyllie-Ioan Gruffudd-Rhys Wakefield-Richard Roxburgh,Sanctum,2010s action adventure films-2010s survival films-2011 3D films-2011 action thriller films-Father and son films-Survival films-Underwater action films,na,Alister Grierson,1.086E8,Alister Grierson,English
5,Dhoom,1828869,"Dhoom (transl. Blast) is a 2004 Indian Hindi-language action-thriller film directed by Sanjay Gadhvi and written by Vijay Krishna Acharya and Aditya Chopra who also produced the film through the well known company Yash Raj Films.The film stars Abhishek Bachchan, Uday Chopra, John Abraham, Esha Deol and Rimi Sen. It is the first installment in the later famous Dhoom franchise. The cinematography was done by Nirav Shah, and the original soundtrack was composed by Pritam, while Salim-Sulaiman provided the background score for the film.","* Abhishek Bachchan              
* Uday Chopra
* John Abraham
* Esha Deol
* Rimi Sen",Dhoom,2000s Hindi-language films-2000s heist films-2004 action thriller films-2004 films-Fictional portrayals of the Maharashtra Police-Films directed by Sanjay Gadhvi-Films featuring songs by Pritam-Films set in Mumbai-Films shot in Mumbai-Indian action thriller films-Indian films-Indian heist films-Yash Raj Films films,Nirav Shah,Sanjay Gadhvi,na,Sanjay Gadhvi,http://dbpedia.org/resource/Hindi
6,Waar 2,41305887,Waar 2 is an upcoming Pakistani action-thriller film directed and written by Hassan Rana. It is a sequel to the Bilal Lashari's directed 2013 film Waar. The film stars Shaan Shahid. Filming began in June 2015 in London.,-Agha Haris Durrani-Aleeze Nasser-Ayesha Omer-Bilal Ashraf-Maya Ali-Shaan Shahid,Waar 2,Films directed by Hassan Rana-Films shot in Gilgit-Baltistan-Films shot in London-MindWorks Media films-Pakistani action thriller films-Pakistani films-Pakistani spy thriller films-Unreleased Pakistani films,Hassan Rana,Hassan Rana,na,Hassan Rana,http://dbpedia.org/resource/English_language
7,American Siege,65875650,"American Siege is an upcoming American action-thriller film directed by Edward John Drake, who co-wrote the film's script alongside producer Corey Large. The film stars Bruce Willis, Rob Gough, Anna Hindman, and Trevor Gretzky.",-Anna Hindman-Bruce Willis-Rob Gough-Trevor Gretzky,American Siege,American action thriller films-American films-Films set in Oregon-Films shot in British Columbia-Films shot in Georgia (U.S. state)-Upcoming English-language films-Upcoming films,na,Edward John Drake,na,Edward John Drake,English
8,The Bourne Legacy (film),29270563,"The Bourne Legacy is a 2012 American action-thriller film directed by Tony Gilroy, and is the fourth installment in the series of films adapted from the Jason Bourne novels originated by Robert Ludlum and continued by Eric Van Lustbader, being preceded by The Bourne Identity (2002), The Bourne Supremacy (2004), and The Bourne Ultimatum (2007). Although this film has the same title as Van Lustbader's first Bourne novel, The Bourne Legacy (2004), the actual screenplay bears little resemblance to the novel. Unlike the novel, which features Jason Bourne as the principal character, the film centers on black ops agent Aaron Cross (played by Jeremy Renner), an original character. In addition to Renner, the film stars Rachel Weisz and Edward Norton.",-Albert Finney-Edward Norton-Jeremy Renner-Joan Allen-Oscar Isaac-Rachel Weisz-Scott Glenn-Stacy Keach,The Bourne Legacy: Original Motion Picture Soundtrack,"2010s spy films-2012 action thriller films-2012 films-American action thriller films-American films-American sequel films-American spy films-Bourne (film series)-Drone films-English-language films-Films about the Central Intelligence Agency-Films directed by Tony Gilroy-Films produced by Frank Marshall-Films scored by James Newton Howard-Films set in 2005-Films set in Alaska-Films set in Bangkok-Films set in Chicago-Films set in Karachi-Films set in Metro Manila-Films set in Montgomery County, Maryland-Films set in New York City-Films set in Palawan-Films set in Seoul-Films set in Washington, D.C.-Films shot in Alberta-Films shot in Metro Manila-Films shot in New York City-Films shot in Palawan-Films shot in Seoul-Films with screenplays by Dan Gilroy-Films with screenplays by Tony Gilroy-Government in fiction-Relativity Media films-The Kennedy/Marshall Company films-Universal Pictures films",Robert Elswit,Tony Gilroy,2.761E8,Tony Gilroy,English
9,Honest Thief,58733929,"Honest Thief is a 2020 American action-thriller film directed by Mark Williams, from a screenplay by Williams and Steve Allrich. The film stars Liam Neeson, Kate Walsh, Jai Courtney, Jeffrey Donovan, Anthony Ramos and Robert Patrick, and follows a former bank robber who decides to turn himself in to the FBI, only to be set up by corrupt agents.",-Anthony Ramos-Jai Courtney-Jeffrey Donovan-Kate Walsh-Liam Neeson-Robert Patrick,Honest Thief,2020 action thriller films-2020 films-2020s heist films-American action thriller films-American films-American heist films-Films about bank robbery-Films about police misconduct-Films about the Federal Bureau of Investigation-Films postponed due to the COVID-19 pandemic-Films scored by Mark Isham-Films set in Boston-Films shot in Massachusetts-IMAX films-Open Road Films films,Shelly Johnson (cinematographer),Mark Williams (filmmaker),3.13E7,Mark Williams (filmmaker),English
